parent,subcategory_slug,name,url
manufacturing-industries,food-industry,Food Industry,https://www.finelib.com/business/manufacturing-industries/food-industry
manufacturing-industries,furniture-makers,Furniture Makers,https://www.finelib.com/business/manufacturing-industries/furniture-makers
manufacturing-industries,healthcare-products,Healthcare Products,https://www.finelib.com/business/manufacturing-industries/healthcare-products
manufacturing-industries,herbal-products,Herbal Products,https://www.finelib.com/business/manufacturing-industries/herbal-products
manufacturing-industries,household-products,Household Products,https://www.finelib.com/business/manufacturing-industries/household-products
manufacturing-industries,industrial-machinery,Industrial Machinery,https://www.finelib.com/business/manufacturing-industries/industrial-machinery
manufacturing-industries,industrial-supplies,Industrial Supplies,https://www.finelib.com/business/manufacturing-industries/industrial-supplies
manufacturing-industries,jewelry-manufacturing,Jewelry Manufacturing,https://www.finelib.com/business/manufacturing-industries/jewelry-manufacturing
manufacturing-industries,leather-products,Leather Products,https://www.finelib.com/business/manufacturing-industries/leather-products
manufacturing-industries,medical-products,Medical Products,https://www.finelib.com/business/manufacturing-industries/medical-products
manufacturing-industries,metals-manufacturing,Metals Manufacturing,https://www.finelib.com/business/manufacturing-industries/metals-manufacturing
manufacturing-industries,oil-and-gas-refineries,Oil and Gas Refineries,https://www.finelib.com/business/manufacturing-industries/oil-and-gas-refineries
manufacturing-industries,personal-hygiene,Personal Hygiene,https://www.finelib.com/business/manufacturing-industries/personal-hygiene
manufacturing-industries,plastic-product,Plastic Product,https://www.finelib.com/business/manufacturing-industries/plastic-product
manufacturing-industries,printing-products,Printing Products,https://www.finelib.com/business/manufacturing-industries/printing-products
manufacturing-industries,salt-manufacturers,Salt Manufacturers,https://www.finelib.com/business/manufacturing-industries/salt-manufacturers
manufacturing-industries,sawmills-and-timber-industries,Sawmills and Timber Industries,https://www.finelib.com/business/manufacturing-industries/sawmills-and-timber-industries
manufacturing-industries,security-locks,Security Locks,https://www.finelib.com/business/manufacturing-industries/security-locks
manufacturing-industries,shoe-manufacturers,Shoe Manufacturers,https://www.finelib.com/business/manufacturing-industries/shoe-manufacturers
manufacturing-industries,stationary-manufacturing,Stationary Manufacturing,https://www.finelib.com/business/manufacturing-industries/stationary-manufacturing
manufacturing-industries,steel-industries,Steel Industries,https://www.finelib.com/business/manufacturing-industries/steel-industries
manufacturing-industries,sugar-manufacturers,Sugar Manufacturers,https://www.finelib.com/business/manufacturing-industries/sugar-manufacturers
manufacturing-industries,tarpaulin-manufacturers,Tarpaulin Manufacturers,https://www.finelib.com/business/manufacturing-industries/tarpaulin-manufacturers
manufacturing-industries,telecom-products,Telecom Products,https://www.finelib.com/business/manufacturing-industries/telecom-products
manufacturing-industries,tent-makers,Tent Makers,https://www.finelib.com/business/manufacturing-industries/tent-makers
manufacturing-industries,textile-manufacturing,Textile Manufacturing,https://www.finelib.com/business/manufacturing-industries/textile-manufacturing
manufacturing-industries,textile-mills,Textile Mills,https://www.finelib.com/business/manufacturing-industries/textile-mills
